['912', '628', '278', '87', '217', '776', '465', '489', '823', '200', '21', '639', '931', '979', '864', '298', '269', '703', '305', '967']
['103', '46', '413', '903', '841', '239', '10', '511', '832', '895', '896', '978', '376', '441', '921', '851', '527', '883', '374', '225']
['70', '183', '204', '358', '101', '679', '699', '386', '58', '717', '736', '916', '573', '424', '15', '759', '153', '753', '28', '646']
['551', '403', '875', '596', '460', '341', '627', '243', '873', '892', '591', '438', '13', '906', '490', '833', '418', '354', '578', '493']
['576', '766', '695', '428', '579', '242', '172', '283', '936', '871', '152', '382', '174', '379', '95', '393', '553', '798', '427', '184']
['712', '106', '972', '872', '102', '767', '120', '585', '342', '327', '878', '202', '429', '808', '216', '246', '504', '942', '129', '583']
['127', '663', '108', '412', '317', '858', '951', '219', '227', '458', '815', '557', '308', '132', '104', '426', '50', '944', '510', '855']
['992', '937', '541', '696', '828', '314', '270', '394', '565', '41', '779', '145', '443', '396', '856', '381', '37', '263', '124', '235']
['545', '980', '611', '998', '211', '142', '31', '276', '462', '764', '377', '735', '876', '893', '118', '969', '804', '983', '19', '488']
['780', '410', '143', '922', '765', '737', '318', '985', '727', '826', '119', '784', '205', '162', '503', '950', '138', '850', '23', '319']
['301', '229', '667', '610', '435', '310', '525', '17', '728', '307', '731', '97', '166', '134', '321', '264', '806', '844', '847', '140']
['74', '313', '43', '524', '891', '802', '364', '65', '182', '208', '113', '343', '96', '861', '977', '479', '179', '584', '480', '598']
['395', '346', '496', '482', '176', '970', '626', '311', '9', '608', '879', '6', '518', '64', '824', '816', '677', '474', '845', '409']
['284', '231', '38', '293', '787', '398', '297', '194', '383', '838', '881', '433', '770', '902', '997', '282', '756', '644', '279', '888']
['161', '430', '248', '484', '939', '793', '738', '619', '604', '520', '85', '682', '411', '595', '94', '399', '692', '244', '531', '697']
['901', '732', '559', '952', '791', '563', '769', '602', '251', '59', '290', '648', '649', '625', '636', '622', '908', '498', '996', '367']
['929', '669', '746', '719', '253', '968', '88', '900', '935', '654', '614', '517', '144', '966', '818', '658', '404', '44', '55', '960']
['723', '401', '501', '733', '29', '477', '105', '324', '743', '371', '221', '786', '167', '750', '322', '275', '620', '938', '125', '49']
