['614', '624', '373', '608', '729', '243', '618', '131', '169', '424', '95', '743', '215', '151', '765', '253', '293', '105', '573', '38', '35', '949', '277', '962', '145', '586', '621', '276', '357', '244', '57', '205', '354', '780', '415', '400', '556', '646', '890', '804', '531', '495', '721', '251', '150', '4', '79', '488', '666']
['355', '678', '437', '542', '62', '846', '440', '824', '82', '511', '810', '401', '225', '448', '674', '578', '733', '707', '713', '473', '64', '42', '290', '749', '641', '23', '172', '187', '632', '399', '779', '26', '282', '816', '886', '686', '899', '843', '465', '558', '359', '690', '697', '565', '449', '764', '832', '529', '871']
['474', '387', '310', '97', '583', '778', '431', '895', '944', '280', '250', '71', '770', '226', '210', '88', '484', '718', '534', '727', '724', '3', '371', '503', '334', '849', '827', '295', '504', '845', '10', '433', '682', '855', '828', '2', '546', '760', '442', '347', '256', '326', '922', '521', '813', '356', '340', '58', '715']
['46', '694', '897', '336', '572', '492', '176', '178', '588', '875', '934', '499', '44', '275', '638', '27', '739', '240', '328', '635', '790', '847', '726', '675', '858', '6', '324', '158', '774', '920', '835', '932', '456', '714', '518', '375', '795', '444', '258', '446', '865', '348', '491', '939', '331', '730', '968', '20', '432']
['292', '837', '577', '162', '836', '264', '183', '443', '921', '485', '402', '728', '829', '579', '928', '580', '801', '617', '961', '268', '508', '438', '306', '862', '640', '501', '705', '93', '478', '164', '391', '201', '118', '676', '143', '78', '642', '430', '592', '345', '622', '767', '757', '411', '512', '409', '405', '489', '974']
['175', '947', '366', '393', '263', '395', '224', '34', '392', '383', '936', '645', '21', '972', '938', '884', '285', '918', '360', '423', '771', '382', '904', '493', '445', '159', '297', '913', '56', '29', '494', '193', '811', '45', '11', '658', '543', '281', '379', '720', '321', '269', '639', '84', '138', '177', '506', '893', '380']
['15', '825', '497', '633', '532', '696', '422', '68', '475', '878', '19', '132', '574', '768', '149', '188', '341', '916', '107', '978', '109', '651', '374', '242', '575', '481', '314', '817', '196', '732', '47', '358', '687', '688', '910', '435', '398', '919', '520', '786', '283', '457', '679', '863', '165', '51', '376', '267', '361']
['270', '628', '664', '751', '741', '643', '377', '747', '609', '352', '549', '881', '750', '637', '654', '459', '942', '346', '220', '404', '211', '421', '52', '661', '136', '61', '723', '914', '841', '195', '452', '43', '519', '70', '793', '124', '759', '329', '877', '330', '154', '140', '262', '596', '833', '522', '307', '777', '114']
['561', '593', '905', '447', '755', '184', '365', '286', '856', '691', '248', '861', '879', '338', '342', '434', '652', '471', '148', '576', '702', '153', '582', '525', '648', '958', '335', '90', '585', '894', '782', '426', '241', '563', '657', '458', '975', '260', '735', '568', '9', '462', '476', '821', '343', '672', '791', '903', '591']
['219', '368', '466', '388', '606', '17', '309', '266', '287', '539', '769', '709', '486', '627', '116', '218', '498', '31', '86', '634', '857', '537', '468', '115', '160', '212', '121', '859', '317', '530', '662', '112', '104', '788', '603', '540', '66', '613', '185', '848', '612', '668', '113', '571', '566', '407', '971', '762', '325']
['630', '171', '351', '601', '900', '96', '602', '615', '644', '463', '353', '517', '502', '513', '461', '128', '527', '710', '453', '952', '722', '809', '891', '119', '180', '909', '167', '967', '85', '247', '701', '137', '737', '441', '122', '436', '844', '239', '838', '660', '745', '850', '101', '417', '800', '555', '631', '451', '77']
['784', '933', '65', '133', '186', '313', '425', '799', '887', '605', '273', '559', '363', '323', '538', '957', '319', '725', '560', '100', '976', '964', '390', '200', '142', '208', '209', '413', '0', '144', '206', '693', '684', '152', '599', '168', '483', '854', '75', '135', '13', '880', '369', '626', '698', '199', '870', '820', '677']
['76', '72', '692', '798', '683', '892', '130', '917', '946', '385', '806', '464', '5', '155', '594', '907', '420', '656', '12', '259', '665', '792', '794', '213', '316', '979', '685', '851', '141', '22', '550', '500', '246', '439', '830', '120', '163', '629', '756', '238', '117', '510', '91', '223', '699', '963', '301', '8', '312']
['284', '523', '496', '272', '296', '232', '416', '515', '937', '48', '69', '951', '299', '74', '834', '156', '598', '487', '663', '298', '752', '595', '469', '669', '16', '604', '704', '812', '600', '867', '470', '514', '584', '536', '315', '28', '960', '278', '647', '505', '551', '711', '731', '237', '394', '758', '67', '289', '673']
['157', '842', '620', '831', '123', '557', '216', '236', '332', '381', '814', '567', '265', '898', '763', '83', '775', '516', '81', '783', '126', '255', '389', '882', '33', '906', '943', '73', '889', '753', '623', '734', '129', '477', '7', '860', '40', '254', '274', '291', '885', '746', '803', '427', '548', '364', '796', '524', '174']
['706', '302', '197', '257', '305', '695', '182', '30', '108', '553', '787', '412', '231', '840', '1', '868', '344', '378', '742', '930', '367', '965', '94', '736', '60', '103', '428', '927', '569', '460', '386', '888', '507', '873', '337', '134', '397', '671', '901', '625', '915', '526', '872', '396', '926', '680', '372', '480', '912']
