['308', '731', '676', '854', '60', '473', '538', '727', '926', '694', '626', '502', '576', '514', '348', '795', '682', '662', '683', '166', '52', '470', '529', '954', '215']
['831', '493', '338', '524', '274', '575', '816', '806', '747', '61', '589', '857', '309', '158', '90', '763', '773', '369', '440', '861', '344', '339', '349', '906', '147']
['264', '583', '559', '253', '706', '598', '698', '648', '978', '523', '280', '905', '520', '436', '48', '898', '809', '755', '745', '326', '635', '798', '91', '282', '974']
['729', '862', '752', '555', '109', '329', '735', '302', '911', '526', '912', '361', '776', '372', '351', '230', '214', '581', '378', '595', '154', '796', '967', '895', '175']
['743', '778', '357', '173', '918', '477', '413', '481', '686', '162', '31', '323', '604', '512', '67', '59', '696', '275', '941', '291', '452', '820', '701', '494', '112']
['401', '336', '919', '263', '577', '891', '904', '522', '114', '362', '95', '714', '301', '390', '507', '341', '82', '219', '471', '530', '734', '256', '610', '899', '531']
['560', '476', '754', '107', '382', '936', '120', '810', '223', '766', '142', '169', '808', '653', '186', '236', '692', '28', '807', '528', '824', '152', '960', '703', '445']
['414', '363', '674', '570', '971', '233', '89', '216', '84', '551', '153', '921', '587', '442', '797', '9', '249', '294', '590', '257', '828', '132', '41', '427', '496']
['684', '961', '621', '117', '977', '515', '628', '224', '458', '693', '622', '867', '833', '265', '218', '574', '586', '979', '126', '46', '853', '907', '554', '722', '536']
['964', '281', '633', '827', '546', '389', '342', '267', '568', '178', '612', '111', '935', '631', '439', '596', '335', '64', '878', '358', '948', '952', '917', '639', '487']
['388', '298', '920', '232', '376', '467', '210', '847', '183', '762', '939', '245', '133', '789', '588', '784', '669', '269', '208', '266', '858', '992', '203', '591', '644']
['446', '689', '725', '190', '990', '888', '993', '817', '434', '556', '56', '999', '380', '35', '74', '677', '116', '405', '518', '981', '428', '852', '122', '397', '156']
['658', '39', '700', '188', '460', '100', '141', '991', '278', '410', '66', '655', '310', '874', '359', '150', '783', '636', '279', '288', '685', '394', '671', '311', '404']
['155', '640', '938', '748', '614', '720', '781', '739', '466', '793', '355', '292', '17', '541', '549', '868', '33', '462', '304', '942', '184', '800', '170', '998', '627']
['900', '716', '721', '3', '422', '443', '45', '375', '259', '697', '78', '846', '715', '499', '211', '465', '884', '540', '172', '345', '44', '634', '642', '98', '790']
['433', '247', '940', '955', '959', '937', '548', '903', '856', '10', '318', '260', '222', '113', '670', '54', '925', '160', '75', '830', '119', '994', '872', '893', '963']
['517', '760', '204', '387', '881', '453', '40', '81', '425', '254', '409', '352', '276', '104', '687', '933', '108', '681', '863', '791', '286', '740', '970', '870', '137']
['864', '228', '879', '930', '102', '848', '368', '299', '785', '601', '1', '995', '788', '544', '261', '197', '305', '511', '27', '566', '957', '865', '168', '630', '68']
['779', '758', '707', '660', '573', '196', '229', '594', '419', '412', '25', '334', '832', '384', '774', '225', '284', '127', '850', '143', '350', '444', '429', '205', '177']
['492', '553', '251', '564', '179', '319', '165', '333', '243', '5', '312', '207', '718', '381', '618', '475', '478', '885', '6', '297', '87', '699', '250', '679', '913']
['11', '398', '738', '516', '945', '71', '741', '914', '483', '337', '199', '289', '811', '652', '550', '426', '406', '922', '131', '407', '101', '767', '605', '47', '649']
['151', '385', '673', '383', '582', '889', '996', '894', '226', '761', '140', '744', '710', '76', '83', '15', '890', '317', '950', '976', '724', '65', '580', '242', '772']
['641', '602', '99', '356', '283', '782', '34', '965', '875', '953', '32', '124', '273', '943', '505', '238', '21', '424', '248', '451', '105', '231', '609', '316', '403']
['92', '637', '234', '521', '411', '770', '638', '908', '176', '821', '498', '792', '187', '96', '29', '495', '97', '395', '277', '987', '500', '198', '558', '915', '2']
['399', '340', '227', '975', '923', '866', '435', '393', '163', '656', '880', '561', '667', '346', '57', '842', '324', '606', '38', '391', '455', '730', '765', '780', '749']
['331', '50', '651', '206', '193', '623', '968', '771', '944', '456', '934', '593', '871', '985', '777', '542', '159', '503', '13', '539', '988', '664', '474', '217', '146']
['30', '769', '430', '841', '235', '421', '431', '804', '55', '51', '717', '737', '149', '325', '246', '22', '93', '307', '812', '819', '145', '103', '572', '726', '437']
['615', '508', '239', '704', '962', '374', '125', '86', '825', '599', '680', '58', '801', '303', '719', '654', '321', '37', '657', '194', '552', '320', '947', '138', '665']
['650', '296', '751', '468', '370', '901', '869', '69', '619', '910', '632', '489', '535', '712', '272', '835', '818', '497', '449', '859', '12', '121', '201', '49', '314']
['815', '328', '989', '629', '285', '448', '88', '16', '983', '306', '860', '643', '420', '136', '757', '7', '646', '300', '672', '843', '972', '547', '72', '534', '480']
['482', '584', '527', '666', '327', '592', '949', '386', '200', '813', '803', '237', '293', '902', '733', '545', '986', '659', '702', '506', '982', '42', '43', '956', '148']
['887', '180', '973', '897', '192', '691', '367', '932', '814', '123', '287', '354', '723', '464', '543', '509', '486', '252', '969', '353', '713', '450', '877', '26', '14']
['24', '185', '886', '844', '708', '883', '742', '463', '212', '110', '611', '8', '924', '373', '171', '447', '668', '63', '106', '565', '130', '882', '916', '0', '62']
['408', '268', '379', '616', '675', '80', '823', '164', '213', '927', '313', '958', '189', '161', '438', '209', '794', '115', '537', '364', '625', '562', '966', '802', '129']
['929', '347', '416', '461', '786', '838', '585', '510', '533', '417', '270', '839', '19', '490', '262', '459', '241', '849', '255', '822', '787', '571', '491', '695', '504']
['736', '366', '728', '909', '240', '139', '128', '415', '70', '332', '472', '829', '36', '876', '663', '315', '840', '597', '873', '569', '182', '557', '360', '579', '157']
['951', '484', '607', '753', '600', '836', '244', '946', '4', '396', '322', '258', '931', '608', '377', '479', '768', '400', '295', '85', '851', '645', '746', '578', '144']
['603', '532', '371', '167', '711', '418', '220', '826', '135', '174', '221', '678', '18', '624', '563', '620', '195', '402', '330', '469', '688', '501', '896', '290', '525']
['73', '365', '441', '23', '855', '271', '690', '799', '775', '805', '519', '454', '134', '756', '837', '980', '764', '423', '709', '53', '661', '997', '567', '118', '202']
['892', '750', '759', '488', '343', '984', '181', '845', '928', '705', '485', '617', '647', '613', '432', '834', '94', '732', '457', '392', '191', '513', '79', '77', '20']
