['0', '4', '10', '13', '58', '70', '79', '83', '97', '121', '129', '169', '170', '193', '252', '279', '281', '346', '389', '391', '447', '467', '511', '582', '593', '655', '717', '723', '758', '761', '771', '780']
['18', '67', '81', '125', '167', '177', '206', '330', '362', '364', '390', '421', '437', '453', '483', '503', '532', '620', '656', '663', '671', '768', '769', '770', '774', '778', '783', '789', '794', '797', '798', '799']
['46', '64', '116', '134', '157', '249', '258', '280', '311', '313', '341', '353', '371', '373', '394', '407', '460', '480', '501', '537', '544', '573', '588', '603', '618', '622', '629', '650', '676', '678', '702', '724']
['2', '28', '35', '39', '59', '66', '74', '77', '96', '105', '140', '147', '178', '189', '201', '246', '254', '268', '306', '392', '404', '431', '471', '472', '484', '525', '527', '601', '619', '627', '644', '651']
['15', '20', '95', '102', '123', '138', '186', '190', '207', '239', '259', '282', '285', '326', '350', '355', '366', '370', '387', '405', '416', '429', '439', '442', '459', '465', '486', '494', '540', '561', '592', '598']
['36', '60', '65', '69', '76', '86', '101', '139', '168', '183', '192', '265', '267', '296', '348', '418', '425', '426', '427', '455', '464', '498', '504', '534', '551', '579', '610', '652', '669', '674', '681', '686']
['33', '41', '57', '61', '72', '137', '174', '214', '247', '256', '274', '320', '327', '386', '436', '452', '461', '462', '519', '529', '543', '563', '578', '580', '604', '637', '673', '689', '713', '781', '784', '791']
['44', '48', '52', '103', '106', '117', '132', '152', '158', '162', '196', '208', '230', '234', '260', '262', '263', '290', '310', '338', '349', '408', '432', '443', '449', '456', '470', '518', '526', '548', '559', '594']
['22', '53', '78', '135', '145', '161', '179', '191', '284', '286', '297', '298', '308', '328', '357', '359', '393', '396', '398', '415', '417', '440', '539', '556', '590', '599', '624', '685', '699', '708', '741', '742']
['24', '49', '62', '148', '156', '159', '171', '240', '242', '253', '318', '335', '343', '399', '403', '454', '479', '487', '522', '530', '552', '570', '597', '600', '611', '636', '658', '665', '700', '701', '727', '737']
['11', '16', '73', '85', '107', '114', '166', '199', '212', '271', '272', '287', '293', '303', '307', '312', '336', '345', '384', '444', '502', '507', '515', '558', '565', '572', '630', '632', '694', '703', '710', '719']
['8', '25', '34', '126', '136', '146', '153', '195', '203', '222', '225', '294', '334', '354', '360', '368', '369', '438', '457', '493', '509', '536', '659', '661', '716', '751', '756', '763', '782', '788', '795', '796']
['37', '43', '89', '109', '122', '165', '211', '219', '245', '261', '309', '379', '401', '410', '419', '441', '512', '514', '546', '549', '553', '567', '568', '584', '587', '606', '617', '653', '657', '690', '714', '745']
['3', '42', '54', '68', '80', '90', '91', '128', '130', '151', '164', '229', '235', '319', '324', '340', '377', '382', '466', '490', '492', '495', '554', '562', '569', '609', '626', '666', '679', '704', '767', '775']
['5', '21', '40', '112', '115', '175', '182', '200', '202', '204', '241', '270', '273', '299', '316', '321', '329', '358', '375', '383', '406', '428', '482', '528', '557', '608', '613', '621', '654', '667', '749', '754']
['27', '45', '93', '173', '210', '226', '257', '275', '289', '304', '352', '356', '365', '374', '376', '378', '395', '450', '468', '477', '489', '506', '521', '542', '585', '628', '634', '641', '705', '726', '743', '744']
['12', '47', '75', '104', '108', '118', '133', '194', '233', '292', '315', '325', '333', '367', '420', '481', '574', '591', '612', '623', '635', '640', '646', '662', '672', '691', '706', '730', '731', '747', '750', '764']
['6', '26', '31', '32', '98', '100', '111', '124', '141', '217', '221', '232', '251', '264', '388', '400', '422', '446', '499', '523', '531', '555', '566', '575', '589', '607', '638', '642', '643', '649', '664', '695']
['1', '17', '120', '149', '160', '172', '176', '205', '220', '248', '250', '278', '291', '300', '317', '344', '363', '397', '434', '448', '451', '463', '474', '497', '505', '538', '595', '605', '675', '677', '696', '711']
['9', '82', '94', '143', '155', '184', '213', '223', '231', '238', '244', '295', '409', '411', '413', '445', '485', '491', '508', '520', '535', '596', '688', '707', '721', '722', '733', '738', '739', '755', '762', '772']
['29', '51', '55', '56', '71', '110', '185', '188', '216', '218', '228', '301', '302', '314', '412', '473', '510', '513', '533', '545', '564', '602', '633', '668', '692', '698', '712', '728', '740', '746', '748', '753']
['14', '38', '87', '180', '227', '237', '283', '323', '339', '361', '372', '385', '414', '430', '433', '435', '475', '488', '496', '571', '615', '631', '670', '682', '684', '693', '732', '757', '760', '765', '776', '779']
['84', '92', '127', '131', '142', '150', '154', '181', '266', '276', '322', '331', '332', '381', '423', '500', '517', '524', '550', '560', '577', '639', '660', '683', '709', '718', '725', '735', '759', '773', '777', '786']
['7', '19', '23', '50', '99', '113', '144', '197', '209', '215', '224', '255', '269', '347', '402', '458', '469', '476', '478', '516', '541', '547', '576', '583', '614', '616', '645', '680', '687', '697', '715', '736']
['30', '63', '88', '119', '163', '187', '198', '236', '243', '277', '288', '305', '337', '342', '351', '380', '424', '581', '586', '625', '647', '648', '720', '729', '734', '752', '766', '785', '787', '790', '792', '793']
