['312', '328', '232', '258', '155', '260', '21', '91', '384', '325', '23', '274', '86', '336', '210', '318', '334', '44', '89', '391']
['131', '99', '64', '218', '265', '192', '115', '165', '217', '300', '390', '204', '333', '341', '208', '326', '8', '149', '126', '335']
['229', '320', '168', '316', '172', '222', '342', '376', '80', '164', '129', '268', '339', '231', '374', '130', '398', '146', '95', '282']
['137', '263', '0', '228', '102', '141', '10', '181', '331', '111', '216', '354', '239', '110', '224', '70', '11', '352', '230', '317']
['191', '31', '250', '60', '144', '156', '324', '292', '109', '114', '49', '112', '162', '81', '378', '33', '332', '234', '58', '399']
['6', '269', '15', '369', '327', '355', '170', '375', '142', '134', '77', '136', '26', '380', '344', '346', '264', '294', '59', '314']
['298', '372', '17', '4', '108', '98', '151', '34', '366', '124', '309', '173', '365', '290', '188', '293', '101', '238', '283', '322']
['175', '351', '24', '377', '286', '337', '219', '36', '313', '35', '189', '46', '297', '213', '330', '13', '367', '122', '20', '97']
['348', '125', '7', '310', '152', '373', '203', '119', '240', '174', '227', '383', '329', '275', '393', '147', '356', '259', '159', '27']
['347', '202', '201', '148', '40', '74', '87', '388', '90', '306', '350', '299', '167', '363', '266', '176', '251', '209', '135', '248']
['121', '18', '196', '371', '394', '345', '105', '315', '245', '261', '76', '160', '321', '200', '370', '254', '360', '343', '169', '281']
['69', '138', '117', '47', '295', '65', '223', '182', '386', '194', '296', '42', '78', '271', '389', '382', '55', '153', '51', '255']
['184', '39', '104', '85', '361', '63', '288', '257', '150', '397', '270', '362', '289', '158', '291', '128', '48', '29', '247', '45']
['338', '68', '72', '353', '198', '177', '83', '145', '185', '193', '54', '277', '368', '225', '215', '195', '30', '16', '1', '179']
['206', '190', '180', '139', '12', '66', '214', '14', '67', '396', '301', '246', '199', '364', '302', '84', '381', '56', '41', '88']
['2', '387', '308', '276', '280', '163', '28', '62', '120', '61', '285', '100', '52', '106', '273', '154', '197', '94', '50', '340']
['267', '127', '307', '233', '166', '311', '9', '359', '140', '183', '53', '38', '57', '133', '123', '207', '186', '241', '304', '79']
['37', '132', '252', '5', '272', '171', '25', '113', '22', '103', '278', '212', '319', '178', '262', '75', '385', '323', '379', '187']
['220', '249', '357', '211', '236', '32', '284', '82', '244', '73', '143', '116', '305', '221', '358', '243', '253', '256', '93', '303']
['205', '161', '226', '43', '235', '392', '96', '237', '3', '287', '242', '107', '118', '395', '19', '279', '92', '157', '349', '71']
