['a34', 'a50', 'a88', 'a109', 'a157', 'a158', 'a166', 'a187', 'a219', 'a280', 'a303', 'a320']
['a8', 'a72', 'a223', 'a228', 'a232', 'a257', 'a279', 'a339', 'a352', 'a383', 'a396', 'a421']
['a32', 'a61', 'a76', 'a244', 'a254', 'a255', 'a274', 'a353', 'a405', 'a417', 'a427', 'a428']
['a25', 'a98', 'a99', 'a102', 'a231', 'a270', 'a282', 'a330', 'a336', 'a397', 'a433', 'a443']
['a3', 'a60', 'a93', 'a123', 'a124', 'a130', 'a150', 'a153', 'a222', 'a266', 'a341', 'a359']
['a28', 'a94', 'a115', 'a121', 'a142', 'a238', 'a243', 'a271', 'a292', 'a333', 'a345', 'a449']
['a20', 'a48', 'a71', 'a118', 'a126', 'a155', 'a184', 'a205', 'a249', 'a322', 'a323', 'a325']
['a13', 'a65', 'a101', 'a114', 'a152', 'a165', 'a179', 'a221', 'a308', 'a328', 'a350', 'a406']
['a9', 'a89', 'a154', 'a178', 'a201', 'a225', 'a233', 'a375', 'a399', 'a446', 'a462', 'a463']
['a18', 'a82', 'a100', 'a186', 'a203', 'a207', 'a208', 'a210', 'a215', 'a264', 'a382', 'a401']
['a40', 'a43', 'a81', 'a108', 'a125', 'a170', 'a180', 'a237', 'a307', 'a338', 'a351', 'a374']
['a2', 'a168', 'a181', 'a199', 'a262', 'a277', 'a286', 'a304', 'a377', 'a441', 'a447', 'a452']
['a14', 'a59', 'a78', 'a224', 'a226', 'a267', 'a276', 'a297', 'a298', 'a311', 'a416', 'a434']
['a15', 'a95', 'a144', 'a194', 'a214', 'a234', 'a289', 'a299', 'a310', 'a408', 'a426', 'a429']
['a11', 'a110', 'a163', 'a235', 'a240', 'a256', 'a259', 'a261', 'a294', 'a296', 'a319', 'a321']
['a6', 'a52', 'a57', 'a58', 'a117', 'a161', 'a314', 'a376', 'a442', 'a448', 'a451', 'a466']
['a29', 'a56', 'a122', 'a164', 'a218', 'a230', 'a246', 'a332', 'a370', 'a455', 'a464', 'a472']
['a17', 'a127', 'a151', 'a202', 'a360', 'a435', 'a465', 'a470', 'a471', 'a475', 'a478', 'a479']
['a1', 'a198', 'a216', 'a348', 'a367', 'a379', 'a398', 'a403', 'a413', 'a445', 'a456', 'a460']
['a30', 'a49', 'a90', 'a128', 'a145', 'a242', 'a284', 'a309', 'a312', 'a335', 'a344', 'a410']
['a35', 'a45', 'a53', 'a79', 'a196', 'a253', 'a361', 'a394', 'a407', 'a432', 'a438', 'a444']
['a16', 'a47', 'a55', 'a134', 'a136', 'a167', 'a213', 'a326', 'a329', 'a356', 'a385', 'a395']
['a36', 'a69', 'a80', 'a91', 'a111', 'a162', 'a229', 'a265', 'a343', 'a357', 'a373', 'a400']
['a5', 'a41', 'a131', 'a160', 'a188', 'a204', 'a278', 'a287', 'a349', 'a358', 'a365', 'a412']
['a10', 'a75', 'a96', 'a104', 'a119', 'a141', 'a156', 'a171', 'a342', 'a362', 'a369', 'a389']
['a39', 'a42', 'a46', 'a64', 'a66', 'a113', 'a173', 'a176', 'a269', 'a272', 'a283', 'a337']
['a31', 'a107', 'a129', 'a146', 'a148', 'a177', 'a197', 'a206', 'a239', 'a247', 'a251', 'a252']
['a4', 'a44', 'a87', 'a139', 'a182', 'a248', 'a354', 'a366', 'a380', 'a384', 'a402', 'a425']
['a33', 'a51', 'a132', 'a172', 'a200', 'a211', 'a258', 'a318', 'a346', 'a372', 'a423', 'a436']
['a12', 'a54', 'a112', 'a120', 'a169', 'a193', 'a217', 'a241', 'a250', 'a306', 'a324', 'a393']
['a26', 'a63', 'a183', 'a220', 'a227', 'a263', 'a295', 'a411', 'a467', 'a468', 'a477', 'a480']
['a38', 'a62', 'a103', 'a135', 'a174', 'a185', 'a195', 'a268', 'a288', 'a391', 'a404', 'a419']
['a7', 'a70', 'a73', 'a105', 'a133', 'a143', 'a281', 'a305', 'a386', 'a387', 'a454', 'a458']
['a24', 'a77', 'a285', 'a316', 'a347', 'a368', 'a371', 'a415', 'a439', 'a450', 'a453', 'a459']
['a23', 'a83', 'a137', 'a236', 'a273', 'a291', 'a300', 'a301', 'a302', 'a313', 'a363', 'a388']
['a21', 'a67', 'a74', 'a86', 'a92', 'a106', 'a138', 'a190', 'a192', 'a260', 'a355', 'a364']
['a22', 'a191', 'a209', 'a290', 'a392', 'a409', 'a414', 'a457', 'a469', 'a473', 'a474', 'a476']
['a37', 'a84', 'a85', 'a97', 'a116', 'a293', 'a315', 'a317', 'a331', 'a418', 'a430', 'a440']
['a27', 'a140', 'a147', 'a159', 'a189', 'a212', 'a275', 'a327', 'a340', 'a390', 'a431', 'a437']
['a19', 'a68', 'a149', 'a175', 'a245', 'a334', 'a378', 'a381', 'a420', 'a422', 'a424', 'a461']
