['344', '340', '129', '296', '36', '332', '94', '239', '142', '28', '372', '171', '170', '323', '363', '254']
['293', '331', '96', '378', '173', '184', '205', '264', '306', '229', '220', '153', '157', '80', '49', '44']
['101', '334', '27', '393', '243', '364', '383', '255', '219', '288', '53', '114', '118', '303', '223', '222']
['346', '190', '274', '278', '35', '336', '91', '92', '145', '131', '395', '87', '185', '19', '329', '369']
['294', '291', '144', '149', '400', '397', '14', '18', '204', '310', '384', '169', '166', '260', '113', '309']
['275', '34', '337', '333', '93', '236', '148', '396', '172', '13', '322', '60', '258', '353', '111', '150']
['272', '108', '37', '339', '99', '390', '181', '75', '366', '381', '388', '69', '284', '267', '265', '54']
['103', '107', '38', '133', '130', '20', '377', '244', '242', '178', '326', '207', '126', '319', '385', '387']
['198', '33', '95', '392', '398', '179', '188', '62', '165', '167', '352', '351', '210', '266', '301', '302']
['194', '104', '338', '84', '240', '249', '182', '317', '315', '360', '282', '55', '50', '63', '110', '112']
['298', '295', '98', '235', '137', '25', '174', '325', '77', '66', '67', '160', '356', '217', '213', '289']
['348', '197', '273', '371', '88', '86', '247', '321', '200', '8', '121', '355', '58', '308', '304', '225']
['276', '102', '231', '135', '29', '175', '208', '70', '368', '386', '211', '307', '152', '159', '42', '43']
['347', '109', '32', '330', '97', '232', '233', '373', '375', '245', '176', '125', '318', '285', '287', '262']
['341', '199', '279', '138', '26', '186', '10', '328', '201', '203', '316', '259', '65', '252', '350', '280']
['191', '100', '146', '180', '209', '122', '382', '250', '168', '162', '163', '214', '119', '300', '228', '391']
['299', '106', '90', '132', '136', '21', '376', '320', '2', '357', '281', '261', '59', '226', '151', '45']
['342', '196', '270', '271', '143', '141', '139', '379', '394', '72', '78', '128', '362', '389', '218', '156']
['345', '292', '23', '85', '248', '183', '187', '202', '79', '367', '365', '257', '9', '359', '283', '115']
['349', '238', '147', '83', '241', '12', '76', '68', '127', '311', '3', '361', '354', '117', '89', '155']
['193', '39', '31', '30', '6', '134', '15', '16', '73', '71', '124', '358', '216', '4', '227', '48']
['297', '277', '237', '189', '123', '312', '164', '263', '51', '305', '221', '158', '46', '40', '41', '5']
['234', '1', '370', '374', '82', '7', '246', '11', '61', '251', '212', '286', '269', '268', '224', '154']
['343', '290', '195', '105', '140', '24', '399', '327', '206', '74', '120', '380', '64', '116', '81', '47']
['192', '335', '230', '22', '177', '17', '324', '313', '314', '256', '161', '215', '57', '56', '52', '253']
