['13', '147', '172', '187', '268', '321']
['14', '39', '240', '273', '287', '383']
['195', '363', '374', '397', '413', '426']
['54', '132', '149', '182', '198', '218']
['84', '103', '115', '130', '266', '297']
['48', '66', '134', '142', '184', '221']
['88', '98', '176', '190', '235', '381']
['46', '216', '230', '241', '285', '345']
['5', '166', '223', '299', '327', '407']
['81', '108', '237', '243', '260', '303']
['44', '59', '99', '194', '200', '249']
['37', '61', '117', '244', '250', '289']
['126', '160', '164', '231', '254', '373']
['53', '58', '79', '91', '137', '156']
['133', '183', '201', '232', '298', '306']
['2', '71', '217', '292', '325', '337']
['12', '36', '107', '392', '424', '427']
['67', '138', '265', '267', '311', '364']
['33', '83', '109', '119', '264', '380']
['86', '93', '105', '270', '419', '425']
['24', '52', '77', '131', '211', '239']
['73', '123', '290', '291', '309', '317']
['25', '28', '89', '163', '271', '358']
['62', '76', '145', '247', '276', '284']
['15', '118', '207', '368', '370', '422']
['185', '236', '246', '257', '335', '348']
['139', '168', '197', '332', '377', '402']
['32', '278', '282', '334', '339', '350']
['234', '312', '357', '398', '408', '430']
['22', '45', '179', '338', '400', '401']
['3', '34', '56', '120', '281', '328']
['20', '74', '159', '170', '171', '181']
['60', '72', '80', '165', '274', '302']
['151', '191', '288', '319', '366', '386']
['10', '140', '308', '352', '376', '395']
['97', '111', '228', '286', '294', '331']
['23', '40', '349', '351', '411', '417']
['174', '272', '301', '322', '330', '367']
['43', '104', '180', '372', '403', '412']
['106', '125', '346', '362', '399', '418']
['92', '226', '227', '261', '304', '326']
['21', '31', '85', '153', '192', '242']
['113', '157', '188', '189', '196', '225']
['101', '143', '148', '206', '375', '429']
['8', '17', '38', '167', '222', '324']
['68', '210', '214', '382', '409', '431']
['16', '35', '95', '208', '233', '238']
['19', '315', '341', '384', '389', '391']
['177', '219', '355', '360', '405', '428']
['94', '277', '293', '378', '410', '421']
['42', '69', '199', '283', '316', '394']
['155', '259', '356', '385', '393', '423']
['87', '127', '251', '269', '343', '379']
['161', '175', '215', '245', '314', '388']
['49', '51', '253', '310', '415', '416']
['82', '141', '169', '262', '340', '365']
['41', '64', '146', '152', '369', '390']
['65', '75', '220', '300', '318', '359']
['9', '135', '150', '186', '224', '255']
['213', '263', '275', '347', '354', '361']
['6', '27', '248', '305', '329', '342']
['0', '7', '313', '320', '344', '420']
['102', '116', '193', '295', '307', '323']
['212', '371', '387', '404', '406', '414']
['18', '26', '57', '114', '203', '205']
['63', '122', '202', '209', '229', '258']
['29', '121', '124', '128', '256', '296']
['1', '100', '158', '252', '333', '396']
['4', '144', '173', '279', '280', '336']
['47', '70', '78', '110', '162', '178']
['50', '55', '90', '112', '129', '154']
['11', '30', '96', '136', '204', '353']
