['0', '68', '120', '159', '202', '210', '237']
['44', '158', '274', '307', '318', '437', '452']
['40', '70', '196', '204', '243', '299', '305']
['55', '128', '131', '226', '391', '395', '430']
['33', '144', '151', '190', '212', '322', '355']
['58', '76', '94', '222', '225', '232', '259']
['14', '161', '182', '183', '220', '253', '344']
['11', '85', '185', '239', '256', '285', '290']
['87', '168', '281', '304', '346', '465', '468']
['13', '115', '186', '213', '234', '446', '463']
['252', '289', '311', '473', '477', '480', '483']
['12', '95', '251', '413', '456', '464', '481']
['7', '20', '37', '60', '80', '149', '157']
['26', '317', '351', '356', '371', '414', '432']
['114', '147', '166', '167', '272', '314', '353']
['9', '10', '174', '217', '258', '267', '283']
['242', '360', '429', '440', '448', '455', '461']
['17', '89', '153', '162', '189', '229', '369']
['264', '278', '293', '323', '325', '458', '460']
['18', '27', '53', '92', '472', '478', '479']
['19', '150', '368', '393', '454', '484', '486']
['42', '84', '117', '270', '301', '312', '419']
['100', '141', '184', '203', '331', '332', '427']
['74', '352', '420', '441', '442', '450', '470']
['108', '116', '221', '231', '261', '341', '439']
['21', '23', '72', '263', '268', '276', '326']
['143', '188', '246', '335', '376', '418', '466']
['48', '101', '103', '394', '428', '433', '453']
['54', '282', '308', '315', '406', '410', '445']
['34', '228', '302', '342', '343', '462', '482']
['24', '32', '35', '134', '154', '245', '292']
['96', '121', '201', '216', '284', '333', '409']
['3', '39', '148', '416', '434', '488']
['6', '56', '156', '211', '224', '230', '244']
['81', '113', '294', '321', '358', '388', '407']
['82', '177', '207', '248', '280', '300', '364']
['1', '291', '347', '359', '400', '425', '426']
['47', '90', '179', '194', '361', '365', '373']
['73', '79', '83', '107', '126', '142', '206']
['4', '29', '99', '139', '145', '180', '181']
['49', '66', '106', '118', '155', '165', '170']
['43', '45', '173', '255', '260', '319', '421']
['75', '123', '169', '296', '366', '399', '476']
['63', '124', '209', '262', '277', '286', '389']
['130', '140', '298', '316', '324', '340', '345']
['28', '52', '195', '214', '254', '306', '362']
['88', '127', '187', '327', '385', '431', '449']
['5', '64', '227', '241', '348', '392', '411']
['22', '61', '86', '109', '172', '218', '240']
['15', '98', '200', '265', '339', '350', '357']
['71', '111', '249', '383', '402', '408', '471']
['110', '236', '310', '423', '436', '444', '447']
['69', '104', '122', '125', '178', '193', '205']
['51', '197', '199', '219', '223', '233', '279']
['30', '77', '275', '370', '377', '403', '417']
['119', '138', '171', '367', '386', '438', '451']
['102', '105', '133', '137', '146', '198', '330']
['59', '303', '334', '372', '390', '401', '443']
['78', '163', '235', '288', '381', '405', '467']
['41', '62', '238', '250', '349', '375', '404']
['191', '192', '328', '338', '363', '380', '387']
['93', '136', '164', '266', '297', '309', '378']
['25', '50', '67', '97', '160', '175', '176']
['8', '36', '38', '208', '379', '384', '396']
['2', '31', '46', '135', '247', '269', '313']
['57', '129', '152', '215', '273', '295', '329']
['16', '91', '132', '271', '337', '382', '424']
['112', '320', '336', '354', '398', '422', '475']
['257', '287', '397', '412', '415', '435', '469']
['65', '374', '457', '459', '474', '485', '487']
