['143', '261', '286', '372']
['32', '173', '378', '391']
['226', '294', '348', '380']
['260', '319', '377', '386']
['2', '24', '138', '320']
['140', '156', '191', '200']
['180', '300', '336', '354']
['157', '308', '310', '359']
['5', '165', '358', '460']
['131', '268', '433', '470']
['4', '223', '436', '476']
['45', '217', '231', '251']
['54', '181', '192', '219']
['78', '121', '368', '406']
['225', '236', '252', '315']
['16', '313', '357', '392']
['33', '95', '128', '130']
['13', '61', '146', '264']
['47', '72', '224', '299']
['440', '472', '483', '492']
['122', '266', '351', '464']
['58', '179', '198', '279']
['187', '245', '262', '342']
['277', '389', '458', '480']
['14', '275', '281', '291']
['75', '107', '213', '323']
['51', '126', '134', '434']
['273', '430', '473', '488']
['112', '330', '456', '471']
['108', '280', '341', '417']
['214', '288', '326', '439']
['19', '115', '210', '267']
['136', '178', '195', '305']
['96', '98', '175', '403']
['9', '38', '303', '361']
['147', '331', '332', '421']
['56', '83', '118', '289']
['316', '318', '424', '445']
['103', '230', '352', '376']
['211', '249', '410', '463']
['53', '222', '344', '425']
['152', '190', '419', '441']
['69', '371', '382', '423']
['48', '263', '365', '383']
['50', '148', '172', '177']
['199', '274', '285', '339']
['84', '144', '168', '185']
['415', '431', '451', '462']
['123', '257', '282', '307']
['22', '67', '90', '218']
['18', '309', '355', '379']
['127', '133', '237', '327']
['11', '129', '385', '409']
['80', '247', '346', '388']
['162', '167', '176', '259']
['94', '154', '163', '171']
['205', '265', '292', '465']
['81', '398', '454', '457']
['149', '159', '437', '478']
['158', '166', '201', '229']
['0', '196', '202', '254']
['132', '169', '174', '239']
['370', '396', '397', '428']
['63', '215', '466', '468']
['12', '49', '114', '124']
['73', '399', '407', '412']
['206', '232', '374', '435']
['287', '493', '494', '495']
['117', '151', '155', '314']
['248', '393', '402', '414']
['89', '253', '290', '302']
['17', '450', '469', '474']
['384', '387', '448', '490']
['37', '373', '390', '426']
['278', '328', '404', '453']
['227', '422', '461', '484']
['10', '35', '44', '77']
['74', '111', '329', '444']
['141', '242', '337', '408']
['244', '317', '395', '449']
['109', '137', '269', '295']
['97', '106', '186', '228']
['7', '86', '99', '241']
['87', '182', '235', '256']
['29', '65', '220', '482']
['27', '356', '364', '366']
['36', '477', '486', '487']
['367', '413', '467', '479']
['322', '418', '438', '455']
['293', '312', '335', '381']
['189', '250', '340', '343']
['23', '71', '76', '164']
['57', '183', '489', '491']
['40', '208', '284', '321']
['25', '79', '110', '209']
['197', '272', '420', '446']
['297', '353', '362', '452']
['26', '91', '216', '394']
['161', '204', '306', '324']
['59', '70', '104', '271']
['60', '93', '203', '334']
['20', '52', '113', '145']
['363', '400', '475', '485']
['1', '42', '100', '304']
['6', '21', '43', '105']
['30', '34', '85', '120']
['82', '170', '221', '338']
['46', '101', '207', '349']
['39', '240', '246', '350']
['150', '258', '311', '375']
['102', '283', '360', '405']
['28', '31', '64', '66']
['119', '139', '153', '243']
['55', '233', '296', '301']
['41', '62', '68', '135']
['369', '443', '459', '481']
['8', '88', '184', '276']
['142', '160', '193', '333']
['188', '234', '238', '298']
['194', '347', '401', '429']
['15', '116', '212', '427']
['125', '255', '270', '345']
['92', '411', '432', '447']
['3', '325', '416', '442']
