['726', '860', '828', '599', '201', '398', '912', '546', '261', '595', '185', '575', '627', '629', '138', '200', '329', '876', '244', '663']
['49', '968', '437', '367', '156', '508', '159', '835', '338', '70', '723', '873', '916', '661', '421', '135', '5', '495', '415', '212']
['461', '775', '308', '397', '124', '814', '251', '618', '710', '380', '142', '574', '812', '383', '422', '37', '480', '373', '586', '503']
['909', '948', '260', '955', '22', '297', '749', '590', '72', '394', '762', '606', '907', '573', '747', '197', '765', '659', '613', '309']
['136', '428', '298', '981', '755', '556', '420', '855', '198', '38', '976', '372', '320', '219', '996', '887', '797', '440', '602', '106']
['538', '978', '215', '299', '280', '182', '849', '154', '515', '783', '391', '3', '79', '537', '108', '500', '512', '801', '781', '604']
['694', '634', '994', '665', '861', '479', '568', '324', '191', '928', '569', '374', '392', '114', '938', '129', '690', '47', '513', '818']
['877', '716', '54', '799', '868', '293', '445', '529', '600', '687', '14', '947', '642', '125', '451', '233', '802', '892', '527', '57']
['903', '846', '679', '403', '490', '346', '641', '951', '319', '617', '915', '516', '204', '478', '116', '405', '848', '787', '390', '699']
['820', '889', '788', '56', '667', '850', '237', '866', '165', '851', '924', '904', '946', '708', '481', '703', '821', '805', '779', '681']
['216', '822', '798', '794', '248', '433', '409', '462', '743', '276', '937', '601', '980', '712', '416', '81', '740', '506', '811', '702']
['389', '735', '318', '540', '632', '875', '180', '763', '210', '684', '127', '731', '123', '831', '839', '979', '636', '36', '844', '300']
['514', '92', '748', '331', '471', '917', '27', '648', '290', '768', '448', '646', '45', '857', '852', '865', '131', '366', '327', '365']
['925', '77', '29', '836', '991', '789', '837', '134', '974', '833', '952', '698', '384', '707', '432', '447', '941', '662', '970', '304']
['551', '715', '796', '179', '824', '278', '217', '438', '228', '966', '869', '395', '58', '817', '682', '830', '68', '221', '693', '171']
['74', '864', '404', '402', '856', '52', '249', '65', '579', '530', '894', '284', '992', '192', '957', '238', '128', '177', '832', '153']
['491', '112', '772', '651', '33', '920', '181', '98', '612', '949', '378', '193', '539', '328', '585', '44', '608', '543', '592', '268']
['21', '267', '255', '359', '323', '35', '628', '41', '146', '310', '459', '669', '554', '501', '810', '678', '999', '725', '229', '931']
['507', '166', '638', '652', '988', '314', '149', '386', '288', '410', '583', '809', '93', '317', '240', '752', '891', '254', '943', '211']
['913', '847', '431', '281', '673', '657', '905', '239', '196', '614', '466', '547', '169', '48', '357', '997', '829', '744', '387', '591']
['531', '64', '475', '110', '137', '532', '791', '750', '990', '936', '541', '899', '194', '348', '429', '517', '76', '63', '550', '622']
['385', '732', '774', '287', '452', '724', '631', '133', '253', '940', '271', '173', '759', '760', '132', '984', '32', '227', '918', '223']
['624', '795', '728', '655', '67', '396', '351', '158', '782', '489', '333', '700', '854', '418', '483', '945', '126', '195', '341', '430']
['24', '444', '97', '520', '898', '815', '786', '161', '800', '235', '170', '230', '296', '729', '10', '453', '616', '555', '536', '906']
['934', '306', '862', '465', '83', '143', '961', '859', '488', '382', '645', '962', '587', '890', '509', '823', '355', '930', '769', '589']
['660', '739', '721', '354', '301', '102', '985', '959', '209', '776', '926', '927', '28', '379', '31', '470', '20', '922', '886', '598']
['518', '939', '983', '62', '923', '277', '1', '43', '635', '977', '163', '706', '510', '808', '921', '168', '401', '623', '377', '770']
['908', '492', '7', '956', '982', '104', '85', '151', '89', '565', '4', '11', '704', '214', '155', '454', '86', '283', '144', '664']
['897', '176', '929', '458', '369', '263', '147', '777', '414', '16', '55', '965', '701', '413', '117', '615', '548', '842', '425', '419']
['582', '393', '874', '42', '619', '603', '840', '498', '337', '806', '352', '713', '375', '827', '683', '675', '381', '330', '152', '793']
['790', '544', '39', '564', '84', '975', '322', '626', '485', '347', '162', '958', '853', '644', '581', '826', '593', '269', '345', '709']
['164', '691', '436', '484', '680', '521', '292', '963', '411', '884', '435', '654', '741', '175', '736', '222', '989', '656', '19', '88']
['767', '711', '607', '183', '771', '335', '911', '121', '321', '972', '778', '841', '893', '804', '533', '734', '75', '188', '305', '455']
['467', '910', '482', '696', '519', '350', '96', '896', '757', '400', '82', '640', '115', '189', '751', '295', '313', '605', '412', '677']
['246', '205', '202', '274', '442', '553', '157', '819', '689', '291', '719', '780', '91', '258', '737', '141', '9', '674', '670', '460']
['493', '570', '494', '23', '145', '647', '113', '666', '0', '103', '727', '371', '262', '90', '825', '12', '754', '273', '361', '486']
['717', '26', '259', '464', '487', '282', '584', '443', '950', '561', '588', '714', '446', '312', '362', '456', '845', '883', '995', '620']
['358', '557', '236', '973', '871', '363', '742', '426', '332', '753', '572', '232', '993', '522', '867', '339', '733', '870', '960', '370']
['695', '785', '745', '942', '69', '434', '563', '343', '50', '18', '178', '534', '953', '474', '279', '639', '13', '457', '650', '838']
['368', '17', '567', '919', '730', '245', '266', '901', '257', '902', '504', '186', '53', '888', '738', '885', '130', '705', '676', '502']
['336', '758', '109', '720', '6', '944', '2', '580', '30', '441', '477', '597', '468', '139', '807', '577', '140', '25', '649', '247']
['265', '302', '558', '60', '286', '610', '353', '208', '643', '472', '882', '364', '499', '250', '578', '880', '900', '559', '270', '933']
['231', '596', '224', '895', '342', '242', '766', '376', '325', '672', '78', '206', '423', '356', '756', '119', '476', '360', '408', '303']
['878', '463', '40', '73', '718', '560', '524', '954', '311', '95', '349', '535', '637', '427', '220', '497', '813', '61', '225', '272']
['914', '630', '340', '234', '160', '99', '51', '511', '609', '803', '986', '203', '549', '621', '692', '184', '439', '525', '34', '594']
['685', '764', '289', '971', '552', '469', '686', '571', '199', '697', '473', '111', '150', '505', '784', '66', '118', '172', '241', '406']
['218', '935', '987', '59', '449', '523', '688', '496', '671', '964', '107', '326', '243', '611', '80', '566', '658', '15', '633', '167']
['843', '100', '407', '542', '94', '576', '528', '256', '872', '46', '207', '967', '285', '792', '344', '746', '334', '264', '545', '450']
['307', '526', '969', '761', '863', '879', '773', '71', '932', '625', '399', '87', '816', '275', '213', '148', '187', '252', '120', '653']
['316', '315', '190', '122', '562', '226', '417', '105', '722', '668', '424', '388', '858', '174', '998', '881', '8', '101', '834', '294']
