['326', '947', '447', '596', '614']
['267', '589', '296', '645', '649']
['815', '720', '456', '748', '920']
['728', '939', '604', '307', '146']
['217', '692', '458', '533', '618']
['271', '636', '80', '70', '279']
['623', '855', '837', '783', '727']
['321', '578', '128', '474', '188']
['548', '50', '556', '743', '695']
['964', '994', '760', '44', '991']
['319', '765', '982', '640', '738']
['378', '927', '568', '483', '130']
['337', '61', '351', '149', '979']
['85', '19', '544', '740', '392']
['963', '666', '870', '488', '119']
['250', '201', '207', '592', '383']
['844', '117', '426', '258', '327']
['343', '345', '81', '405', '428']
['970', '514', '579', '268', '162']
['752', '734', '75', '841', '39']
['47', '156', '499', '427', '105']
['836', '506', '72', '197', '491']
['954', '242', '375', '684', '807']
['735', '700', '192', '446', '875']
['931', '232', '437', '832', '523']
['398', '545', '332', '52', '451']
['910', '300', '318', '803', '871']
['3', '482', '672', '664', '111']
['659', '363', '122', '133', '834']
['810', '949', '652', '988', '60']
['517', '906', '673', '376', '777']
['928', '902', '379', '463', '567']
['20', '334', '561', '831', '270']
['397', '16', '210', '251', '168']
['833', '536', '151', '773', '414']
['410', '817', '418', '685', '63']
['635', '292', '926', '455', '543']
['651', '625', '82', '87', '28']
['161', '793', '43', '1', '174']
['966', '774', '501', '863', '173']
['390', '802', '67', '893', '177']
['754', '881', '387', '525', '791']
['800', '382', '681', '965', '821']
['288', '443', '936', '127', '411']
['340', '124', '724', '663', '665']
['858', '554', '367', '190', '919']
['840', '6', '143', '925', '257']
['676', '686', '768', '129', '804']
['186', '790', '820', '303', '607']
['120', '909', '595', '505', '497']
['904', '761', '972', '541', '5']
['721', '555', '25', '359', '542']
['409', '586', '123', '647', '867']
['956', '990', '449', '512', '842']
['702', '450', '723', '637', '710']
['193', '138', '243', '402', '99']
['896', '901', '325', '929', '478']
['755', '96', '749', '621', '753']
['693', '191', '915', '144', '419']
['465', '795', '254', '440', '237']
['584', '206', '372', '733', '509']
['891', '564', '103', '69', '108']
['715', '778', '825', '550', '312']
['732', '439', '577', '59', '890']
['671', '997', '15', '726', '121']
['141', '722', '106', '520', '872']
['100', '772', '515', '248', '13']
['249', '528', '295', '615', '513']
['159', '189', '386', '352', '962']
['335', '475', '662', '204', '34']
['868', '549', '609', '394', '610']
['794', '971', '638', '167', '469']
['606', '913', '305', '656', '125']
['287', '857', '776', '698', '9']
['199', '775', '495', '218', '830']
['593', '4', '737', '806', '464']
['712', '882', '253', '557', '153']
['937', '534', '558', '205', '278']
['454', '350', '487', '646', '31']
['682', '993', '631', '559', '369']
['139', '407', '562', '92', '706']
['187', '441', '916', '148', '680']
['91', '699', '229', '574', '230']
['346', '989', '628', '90', '922']
['180', '289', '477', '163', '53']
['260', '529', '742', '461', '298']
['771', '767', '786', '388', '132']
['11', '826', '630', '507', '594']
['935', '262', '467', '801', '236']
['211', '864', '213', '30', '336']
['587', '348', '713', '493', '492']
['573', '981', '225', '323', '539']
['79', '905', '416', '940', '955']
['136', '252', '57', '952', '590']
['430', '282', '247', '239', '109']
['413', '705', '395', '17', '563']
['280', '12', '639', '835', '708']
['354', '784', '992', '275', '231']
['381', '227', '246', '948', '294']
['824', '329', '216', '769', '226']
['98', '245', '641', '780', '951']
['171', '739', '2', '142', '758']
['898', '462', '633', '709', '195']
['763', '853', '660', '629', '576']
['311', '678', '364', '315', '996']
['865', '756', '115', '26', '490']
['779', '917', '94', '73', '24']
['235', '494', '175', '627', '941']
['8', '281', '788', '140', '789']
['912', '553', '152', '107', '154']
['309', '314', '938', '585', '342']
['176', '897', '894', '97', '605']
['360', '317', '101', '816', '436']
['503', '126', '200', '371', '316']
['670', '37', '736', '805', '212']
['797', '286', '888', '828', '160']
['178', '650', '599', '626', '164']
['137', '215', '923', '263', '547']
['370', '302', '83', '552', '272']
['961', '102', '521', '147', '874']
['551', '985', '617', '661', '277']
['879', '76', '945', '320', '818']
['974', '333', '674', '466', '42']
['601', '856', '598', '404', '683']
['104', '976', '202', '385', '580']
['158', '310', '74', '358', '484']
['356', '365', '704', '860', '403']
['78', '873', '829', '324', '582']
['297', '796', '690', '182', '166']
['45', '809', '290', '283', '930']
['33', '953', '644', '362', '299']
['892', '977', '823', '476', '150']
['995', '880', '194', '88', '172']
['819', '861', '113', '221', '516']
['792', '114', '442', '71', '301']
['223', '480', '694', '668', '511']
['238', '711', '750', '616', '747']
['611', '934', '208', '224', '889']
['274', '697', '438', '357', '222']
['273', '716', '811', '347', '827']
['145', '751', '498', '183', '423']
['785', '322', '999', '264', '643']
['29', '349', '632', '209', '453']
['744', '118', '256', '696', '950']
['986', '757', '914', '764', '518']
['571', '422', '519', '169', '570']
['960', '415', '472', '56', '485']
['588', '373', '527', '460', '401']
['489', '284', '984', '508', '68']
['396', '220', '944', '219', '445']
['602', '667', '729', '308', '932']
['530', '165', '866', '93', '691']
['64', '65', '49', '157', '714']
['496', '32', '852', '569', '782']
['328', '600', '241', '572', '566']
['620', '725', '522', '560', '850']
['424', '95', '40', '393', '259']
['432', '808', '654', '531', '983']
['942', '7', '532', '687', '261']
['781', '766', '131', '62', '429']
['18', '634', '799', '0', '731']
['770', '116', '184', '266', '420']
['973', '688', '185', '669', '276']
['622', '27', '838', '969', '198']
['878', '899', '540', '886', '546']
['537', '862', '214', '854', '355']
['444', '55', '689', '377', '612']
['269', '502', '233', '479', '470']
['911', '597', '653', '361', '291']
['677', '22', '86', '468', '380']
['255', '66', '23', '813', '452']
['203', '366', '900', '353', '77']
['883', '812', '170', '524', '234']
['658', '745', '391', '313', '918']
['848', '538', '967', '406', '38']
['306', '54', '155', '330', '978']
['41', '903', '943', '135', '412']
['510', '675', '399', '843', '608']
['240', '433', '787', '471', '339']
['51', '907', '946', '846', '228']
['987', '957', '425', '89', '459']
['959', '619', '798', '10', '417']
['384', '565', '885', '624', '504']
['110', '46', '581', '869', '389']
['703', '486', '679', '575', '134']
['924', '849', '14', '265', '822']
['431', '112', '887', '975', '958']
['648', '535', '741', '583', '374']
['244', '642', '408', '968', '884']
['457', '730', '845', '717', '21']
['847', '48', '181', '655', '285']
['908', '338', '759', '591', '448']
['876', '657', '859', '84', '293']
['613', '344', '196', '500', '719']
['851', '473', '481', '921', '434']
['35', '707', '304', '435', '839']
['421', '179', '895', '58', '603']
['526', '400', '331', '998', '980']
['718', '368', '701', '36', '877']
['341', '814', '933', '746', '762']
