['0', '1', '2', '3', '4', '11', '12', '13', '14', '15', '20']
['162', '247', '249', '250', '251', '252', '262', '254', '259', '256', '257']
['128', '129', '183', '184', '186', '222', '228', '236', '238', '239', '241']
['52', '54', '107', '109', '140', '142', '173', '175', '195', '206', '208']
['209', '220', '223', '224', '231', '232', '234', '242', '243', '245', '246']
['57', '59', '79', '86', '101', '112', '119', '124', '130', '134', '136']
['72', '156', '160', '171', '196', '204', '215', '226', '237', '240', '248']
['16', '17', '60', '71', '90', '104', '137', '148', '149', '218', '230']
['19', '21', '30', '32', '96', '98', '253', '255', '260', '261', '263']
['50', '61', '64', '83', '94', '97', '105', '108', '116', '138', '200']
['132', '135', '143', '146', '147', '157', '165', '179', '190', '201', '202']
['49', '68', '69', '93', '115', '159', '170', '192', '193', '203', '225']
['187', '188', '189', '191', '207', '211', '212', '213', '229', '235', '244']
['5', '6', '7', '8', '9', '10', '63', '65', '74', '76', '164']
['41', '43', '85', '87', '118', '120', '151', '153', '197', '217', '219']
['75', '141', '145', '152', '163', '167', '168', '174', '178', '185', '233']
['18', '27', '28', '29', '38', '39', '40', '42', '161', '194', '214']
['24', '25', '26', '31', '35', '37', '44', '46', '47', '48', '53']
['58', '70', '80', '81', '92', '103', '114', '154', '158', '169', '180']
['82', '84', '117', '121', '123', '125', '126', '127', '131', '172', '227']
['51', '62', '73', '95', '106', '139', '150', '181', '182', '205', '216']
['22', '34', '36', '66', '77', '88', '91', '99', '102', '110', '113']
['45', '89', '100', '111', '133', '155', '177', '199', '210', '221', '258']
['23', '33', '55', '56', '67', '78', '122', '144', '166', '176', '198']
