['0', '38', '48', '55', '101', '124', '155', '156', '163', '217', '218', '219', '226', '227', '229', '230', '231', '234', '236', '237', '238', '239', '240', '245', '246', '247', '312', '314', '322', '465', '468', '480', '482', '485', '487', '494']
['6', '161', '170', '250', '252', '262', '263', '268', '269', '276', '343', '344', '345', '346', '347', '355', '358', '359', '360', '362', '371', '372', '374', '375', '378', '380', '381', '382', '385', '411', '412', '417', '420', '425', '429', '442']
['70', '73', '83', '85', '88', '92', '93', '102', '103', '104', '105', '109', '110', '114', '115', '120', '121', '126', '142', '470', '474', '478', '488', '490', '491', '492', '493', '495']
['65', '90', '158', '193', '194', '197', '198', '201', '202', '203', '207', '209', '213', '214', '224', '225', '232', '235', '243', '249', '264', '267', '341', '342', '348', '349', '353', '354', '356', '357', '366', '368', '370', '376', '398', '430']
['10', '11', '12', '14', '24', '25', '27', '31', '32', '41', '44', '67', '72', '75', '78', '79', '81', '87', '98', '100', '107', '111', '117', '118', '122', '130', '131', '138', '140', '151', '283', '288', '305', '331', '428', '431']
['119', '128', '135', '146', '180', '186', '205', '248', '251', '259', '261', '265', '266', '271', '273', '274', '275', '281', '292', '300', '303', '352', '363', '403', '405', '415', '418', '426', '437', '439', '440', '452', '454', '457', '462', '463']
['33', '34', '35', '36', '37', '39', '40', '43', '45', '46', '47', '49', '50', '51', '52', '53', '54', '56', '58', '59', '60', '61', '63', '64', '71', '77', '80', '86', '133', '143', '221', '228', '241', '310', '323', '324']
['1', '3', '4', '5', '7', '9', '13', '15', '16', '17', '19', '21', '22', '26', '30', '106', '112', '113', '162', '167', '175', '223', '244', '313', '316', '317', '321', '328', '329', '332', '334', '337', '339', '436', '449', '453']
['2', '125', '139', '216', '286', '290', '302', '309', '361', '364', '365', '373', '377', '379', '383', '384', '386', '387', '388', '389', '390', '392', '393', '394', '395', '396', '397', '399', '400', '401', '402', '466', '471', '472', '481', '483']
['23', '29', '84', '89', '254', '260', '272', '315', '318', '319', '320', '327', '335', '338', '340', '423', '434', '435', '438', '441', '443', '444', '445', '446', '448', '450', '451', '455', '456', '458', '459', '460', '461', '464', '479', '489']
['42', '94', '95', '97', '108', '127', '132', '134', '136', '137', '190', '192', '215', '279', '280', '284', '285', '287', '289', '291', '293', '294', '295', '296', '297', '298', '299', '306', '391', '447', '467', '473', '475', '476', '477', '484']
['57', '129', '141', '144', '145', '147', '148', '149', '150', '152', '153', '166', '181', '185', '220', '222', '233', '242', '253', '255', '256', '258', '270', '277', '278', '282', '301', '304', '307', '308', '311', '325', '326', '330', '333', '336']
['8', '18', '28', '154', '157', '159', '160', '164', '165', '168', '169', '171', '172', '173', '174', '176', '177', '178', '179', '182', '183', '184', '187', '188', '189', '191', '195', '196', '199', '200', '204', '206', '208', '210', '211', '212']
['20', '62', '66', '68', '69', '74', '76', '82', '91', '96', '99', '116', '123', '257', '350', '351', '367', '369', '404', '406', '407', '408', '409', '410', '413', '414', '416', '419', '421', '422', '424', '427', '432', '433', '469', '486']
