['C13', 'D33', 'H41']
['H13', 'F20', 'C46']
['C26', 'H36', 'G37']
['E25', 'H28', 'B34']
['C16', '2', '32']
['B26', 'A37', '0']
['A41', '15', '37']
['E50', '23', '41']
['F7', 'A13', 'A14']
['C29', 'B52', 'H52']
['H3', 'E43', 'F44']
['D13', 'F28', 'E45']
['F12', 'A22', 'A35']
['G13', 'C18', 'D43']
['B12', 'E21', 'G38']
['B25', 'D25', '52']
['B23', 'F25', 'G54']
['C44', 'C53', '49']
['G31', 'F45', '4']
['G25', 'A50', '34']
['E48', 'D52', '29']
['C8', 'E24', 'B29']
['E8', 'B21', '53']
['H2', 'G19', 'C51']
['A33', 'G50', 'G51']
['H7', 'B28', 'C35']
['H5', 'G8', 'B27']
['E7', 'A38', 'H51']
['C0', 'F27', 'H27']
['C28', 'E53', 'D54']
['E35', 'E37', 'E49']
['D17', 'G23', 'G45']
['F4', 'F19', 'F29']
['F38', 'G48', '10']
['E4', 'G14', 'C32']
['F26', 'D37', 'H44']
['G1', 'B9', 'A20']
['E16', 'C24', 'C27']
['E33', 'D50', '13']
['H9', 'H37', 'H50']
['F39', 'H49', '12']
['E6', 'B31', '8']
['A0', 'E19', 'G22']
['D5', 'E26', 'B36']
['G11', 'F23', 'E39']
['B1', 'F2', 'C33']
['E23', 'G29', 'A42']
['E32', '17', '33']
['E22', '20', '51']
['H40', 'E42', 'D45']
['C7', 'F21', 'H22']
['B13', 'A16', 'F31']
['C45', '11', '35']
['C3', 'D42', 'C43']
['B20', 'B39', 'A40']
['C15', 'E18', 'G20']
['G9', 'E51', '27']
['F3', 'H12', 'A28']
['G0', 'C1', 'D32']
['D1', 'B42', 'F54']
['F30', 'E46', 'A48']
['A23', 'G28', 'D44']
['F43', 'C54', '56']
['F16', 'F34', 'B46']
['C12', 'C48', '58']
['A36', 'D47', 'B49']
['G7', 'B11', 'E20']
['H17', 'G32', '59']
['A1', 'H11', 'D16']
['B7', 'C21', 'A25']
['A18', 'G43', 'C49']
['G12', 'G46', '1']
['D24', 'C34', 'D46']
['A21', 'A30', 'F36']
['A7', 'F32', 'C41']
['D0', 'H4', 'D9']
['C4', 'D30', 'A53']
['F11', 'H20', 'D40']
['H14', 'G36', 'C47']
['G21', 'F42', 'G49']
['E1', 'H6', 'A45']
['A3', 'D11', 'B18']
['A24', 'H30', 'E34']
['D10', 'H31', 'C39']
['B16', 'F48', '48']
['B15', 'H46', '5']
['E13', 'D18', 'F18']
['G6', '47']
['A2', 'B32', '54']
['C36', 'B41', '19']
['C19', 'D19', 'B24']
['B19', 'A27', 'B37']
['G27', 'H48', '25']
['E2', 'A51', '7']
['D14', 'A19', 'C31']
['G44', 'F49', '22']
['E0', 'A29', 'D35']
['B2', 'F8', 'H42']
['E3', 'F40', 'A52']
['G17', 'B38', 'E40']
['G41', 'B45', '21']
['D4', 'G30', 'H32']
['B0', 'A5', 'D28']
['B35', 'A47', '42']
['H16', 'G33', '24']
['D12', 'F47', '55']
['H19', 'D20', 'F24']
['F41', 'F53', 'B54']
['E52', '14', '36']
['E12', 'G16', 'B48']
['C40', 'G42', 'A44']
['G24', 'D27', 'B43']
['C5', 'F22', 'H43']
['B40', '28', '30']
['H39', 'H45', 'E47']
['F0', '6', '50']
['E28', '9', '31']
['A26', 'A43', 'G53']
['H0', 'D7', 'E15']
['D3', 'C14', '57']
['F15', 'D21', 'D29']
['B6', 'C50', '38']
['H8', 'A15', 'C38']
['A32', 'E36', 'C52']
['A11', 'C20', 'D26']
['A31', 'B33', 'H34']
['B4', 'G26', 'F33']
['C11', 'F51', '43']
['G18', 'H18', 'C25']
['F6', 'D39', '45']
['F1', 'D2', 'B5']
['H35', 'H47', 'D48']
['G5', 'G39', 'A46']
['C23', 'G40', '39']
['G15', 'D53', '16']
['E17', 'E29', 'H33']
['F5', 'A12', '18']
['E9', 'F37', 'B51']
['F14', 'B44', 'F46']
['C9', 'A17', 'C42']
['F9', 'A10', 'F10']
['B14', 'C22', 'D38']
['G3', 'A8', 'H23']
['B10', 'H25', 'G34']
['H26', 'E27', 'E38']
['H1', 'A6', 'C6']
['G10', 'H15', 'D34']
['D8', 'E11', 'F17']
['C2', 'B8', 'B17']
['H10', 'E30', '46']
['F50', 'F52', 'H54']
['D22', 'D31', 'E54']
['B47', 'B53', '3']
['A4', 'G35', 'A49']
['C17', 'C30', 'F35']
['A34', 'E41', 'D51']
['E5', 'E14', 'A39']
['D15', 'H29', 'D36']
['B30', 'G47', 'H53']
['B3', 'A9', 'E31']
['H21', 'C37', 'H38']
['D41', 'A54', '40']
['G4', 'D49', '44']
['D23', 'G52', '26']
['C10', 'F13', 'B50']
['D6', 'B22', 'H24']
['G2', 'E10', 'E44']
