['a0', 'a1', 'a11', 'a19', 'a47', 'a59', 'a192', 'a91', 'a80', 'a117']
['a63', 'a52', 'a124', 'a175', 'a185', 'a226', 'a243', 'a53', 'a136', 'a137']
['a38', 'a57', 'a115', 'a138', 'a160', 'a229', 'a79', 'a102', 'a142', 'a153']
['a9', 'a204', 'a207', 'a27', 'a48', 'a55', 'a196', 'a90', 'a75', 'a100']
['a14', 'a68', 'a74', 'a191', 'a127', 'a131', 'a202', 'a205', 'a222', 'a224']
['a20', 'a43', 'a54', 'a51', 'a194', 'a93', 'a89', 'a140', 'a173', 'a186']
['a206', 'a22', 'a41', 'a44', 'a67', 'a132', 'a177', 'a220', 'a231', 'a45']
['a23', 'a34', 'a35', 'a96', 'a106', 'a118', 'a134', 'a149', 'a151', 'a165']
['a81', 'a18', 'a39', 'a190', 'a139', 'a143', 'a169', 'a189', 'a208', 'a21']
['a88', 'a36', 'a50', 'a150', 'a154', 'a164', 'a176', 'a241', 'a246', 'a101']
['a13', 'a16', 'a62', 'a94', 'a103', 'a116', 'a170', 'a213', 'a239', 'a232']
['a8', 'a198', 'a92', 'a122', 'a135', 'a147', 'a158', 'a181', 'a216', 'a227']
['a24', 'a26', 'a77', 'a108', 'a120', 'a159', 'a163', 'a178', 'a235', 'a240']
['a7', 'a25', 'a40', 'a58', 'a64', 'a72', 'a76', 'a125', 'a128', 'a152']
['a4', 'a12', 'a29', 'a105', 'a114', 'a180', 'a187', 'a199', 'a210', 'a219']
['a197', 'a30', 'a71', 'a167', 'a174', 'a230', 'a247', 'a46', 'a217', 'a223']
['a69', 'a33', 'a66', 'a99', 'a109', 'a119', 'a133', 'a171', 'a218', 'a225']
['a2', 'a193', 'a83', 'a201', 'a84', 'a82', 'a104', 'a126', 'a144', 'a168']
['a6', 'a61', 'a112', 'a155', 'a161', 'a172', 'a183', 'a211', 'a221', 'a248']
['a10', 'a85', 'a86', 'a78', 'a145', 'a146', 'a156', 'a203', 'a234', 'a242']
['a17', 'a32', 'a49', 'a42', 'a60', 'a107', 'a200', 'a195', 'a233', 'a236']
['a15', 'a28', 'a95', 'a182', 'a3', 'a31', 'a121', 'a184', 'a244', 'a245']
['a97', 'a73', 'a123', 'a130', 'a141', 'a157', 'a188', 'a214', 'a162', 'a237']
['a5', 'a65', 'a37', 'a87', 'a110', 'a148', 'a212', 'a228', 'a238', 'a249']
['a98', 'a56', 'a70', 'a111', 'a129', 'a166', 'a209', 'a215', 'a113', 'a179']
