['0', '9', '13', '16', '17', '51', '62', '93', '124', '130', '131', '175', '207', '219', '243', '245']
['8', '19', '59', '94', '106', '117', '128', '138', '156', '159', '161', '174', '179', '192', '211', '225']
['64', '104', '114', '115', '140', '141', '150', '151', '189', '190', '200', '213', '215', '224', '229', '232']
['20', '45', '48', '96', '100', '111', '134', '171', '173', '188', '197', '228', '235', '237', '244', '252']
['7', '18', '24', '25', '41', '66', '90', '95', '107', '147', '149', '160', '187', '193', '206', '217']
['29', '76', '79', '82', '83', '87', '116', '118', '143', '146', '154', '157', '176', '183', '234', '248']
['57', '68', '72', '105', '109', '119', '125', '133', '162', '164', '182', '184', '185', '201', '212', '223']
['12', '21', '35', '49', '50', '54', '60', '63', '77', '137', '178', '180', '181', '203', '209', '231']
['5', '6', '26', '33', '46', '53', '61', '71', '84', '98', '135', '168', '220', '221', '227', '254']
['31', '38', '40', '44', '47', '56', '73', '85', '86', '88', '91', '101', '108', '136', '148', '152']
['23', '36', '39', '43', '67', '89', '112', '120', '127', '139', '167', '195', '216', '222', '240', '246']
['1', '3', '4', '28', '52', '69', '78', '103', '145', '165', '170', '172', '177', '186', '196', '198']
['34', '55', '65', '70', '81', '121', '122', '158', '194', '204', '210', '218', '239', '249', '251', '255']
['15', '30', '37', '42', '102', '126', '132', '155', '169', '191', '226', '230', '238', '242', '247', '250']
['2', '10', '11', '58', '80', '92', '97', '123', '166', '199', '208', '214', '233', '236', '241', '253']
['14', '22', '27', '32', '74', '75', '99', '110', '113', '129', '142', '144', '153', '163', '202', '205']
