['BobbyPortis', 'PaulMillsap']
['SpencerDinwiddie', 'DamianLillard']
['JoseCalderon', 'MarcGasol']
['JamalMurray', 'DeyontaDavis']
['TyrekeEvans', 'CourtneyLee']
['WillBarton', 'JrueHoliday']
['ErsanIlyasova', 'DarrenCollison']
['CristianoFelicio', 'GaryHarris']
['EmmanuelMudiay', 'JaMychalGreen']
['MylesTurner', 'FrankNtilikina']
['KrisDunn', 'TreyLyles']
['JonasJerebko', 'AlecBurks']
['KyrieIrving', 'TrevorAriza']
['KristapsPorzingis', 'ShelvinMack']
['KarlAnthonyTowns', 'TJWarren']
['DAngeloRussell', 'LauriMarkkanen']
['DeAndreJordan']
['DelonWright', 'BradleyBeal']
['IanClark', 'MauriceHarkless']
['DeMarcusCousins', 'MarioHezonja']
['MasonPlumlee', 'BogdanBogdanovic']
['EvanFournier', 'NikolaVucevic']
['JoelEmbiid', 'GeorgeHill']
['JohnCollins', 'MarvinWilliams']
['KellyOlynyk', 'MichaelBeasley']
['DirkNowitzki', 'EvanTurner']
['MalcolmBrogdon', 'JaredDudley']
['GorguiDieng', 'AlexLen']
['ReggieBullock', 'LaMarcusAldridge']
['DarioSaric', 'JonasValanciunas']
['WesleyMatthews', 'LangstonGalloway']
['RondaeHollisJefferson', 'JRSmith']
['JoshHart', 'DevinBooker']
['ClintCapela', 'KhrisMiddleton']
['KyleKorver', 'WilsonChandler']
['JordanClarkson', 'JustinJackson']
['CoryJoseph', 'MarioChalmers']
['AnthonyTolliver', 'KlayThompson']
['KembaWalker', 'JarrettJack']
['AnthonyDavis', 'MarcinGortat']
['RajonRondo', 'JoshHuestis']
['RobertCovington', 'PascalSiakam']
['MarqueseChriss', 'DerrickFavors']
['PattyMills', 'PauGasol']
['JustiseWinslow', 'TysonChandler']
['AllenCrabbe', 'JoeYoung']
['BojanBogdanovic', 'BrookLopez']
['AndrewWiggins', 'CJMcCollum']
['TristanThompson', 'DannyGreen']
['DanielTheis', 'DariusMiller']
['NickYoung', 'EdDavis']
['JaylenBrown', 'JabariParker']
['AlJefferson', 'JeramiGrant']
['AndrewHarrison', 'JeffTeague']
['KyleKuzma', 'WillieCauleyStein']
['JaeCrowder', 'ManuGinobili']
['ChrisPaul', 'DillonBrooks']
['NeneHilario', 'DionWaiters']
['WesleyJohnson', 'TimotheLuwawuCabarrot']
['NikolaMirotic', 'GarrettTemple']
['JaysonTatum', 'KostaKoufos']
['JeremyLamb', 'NikolaJokic']
['JeffGreen', 'StephenCurry']
['StevenAdams', 'BismackBiyombo']
['SindariusThornwell', 'JamalCrawford']
['LanceStephenson', 'BlakeGriffin']
['JohnHenson', 'BuddyHield']
['KevinDurant', 'DomantasSabonis']
['JamesHarden', 'PatConnaughton']
['JerianGrant', 'TobiasHarris']
['LouWilliams', 'DraganBender']
['BamAdebayo', 'JJRedick']
['CoreyBrewer', 'JerrydBayless']
['JohnWall', 'MikeScott']
['EnesKanter', 'DJAugustin']
['CarisLeVert', 'AndreIguodala']
['DavidWest', 'JamesJohnson']
['IshSmith', 'KyleOQuinn']
['BrandonIngram', 'WesleyIwundu']
['BenMcLemore', 'SterlingBrown']
['DeMarDeRozan', 'RickyRubio']
['AronBaynes', 'DraymondGreen']
['AndreDrummond', 'TroyDaniels']
