['418', '98', '169', '43', '2']
['83', '127', '407', '320', '474']
['209', '158', '64', '36', '401']
['31', '350', '200', '11', '355']
['263', '100', '485', '245', '289']
['480', '233', '406', '387', '107']
['170', '136', '189', '211', '297']
['3', '154', '77', '205', '298']
['10', '47', '221', '161', '45']
['353', '176', '314', '275', '164']
['203', '71', '342', '193', '300']
['403', '306', '159', '112', '349']
['219', '82', '248', '23', '499']
['12', '223', '451', '408', '183']
['58', '440', '149', '14', '322']
['62', '186', '305', '433', '94']
['251', '398', '271', '366', '455']
['479', '390', '163', '224', '24']
['382', '481', '230', '172', '362']
['454', '332', '87', '402', '475']
['139', '424', '166', '464', '108']
['242', '197', '496', '258', '293']
['409', '330', '201', '55', '450']
['4', '469', '384', '123', '495']
['16', '461', '429', '74', '374']
['60', '267', '264', '0', '439']
['99', '137', '114', '116', '179']
['438', '198', '8', '357', '232']
['486', '498', '125', '477', '452']
['29', '190', '466', '335', '489']
['435', '168', '120', '465', '160']
['32', '302', '37', '310', '184']
['428', '456', '423', '434', '368']
['38', '56', '146', '26', '30']
['173', '148', '182', '208', '413']
['96', '346', '102', '59', '360']
['303', '17', '117', '105', '348']
['212', '162', '216', '15', '354']
['427', '411', '415', '316', '40']
['70', '340', '256', '195', '269']
['138', '51', '228', '356', '141']
['78', '237', '254', '459', '50']
['185', '358', '150', '290', '253']
['92', '244', '196', '85', '493']
['327', '468', '13', '410', '110']
['336', '257', '69', '222', '285']
['246', '276', '27', '391', '52']
['133', '22', '103', '352', '478']
['441', '280', '124', '482', '488']
['53', '249', '282', '218', '315']
['187', '274', '75', '339', '34']
['259', '157', '213', '313', '174']
['365', '483', '326', '7', '405']
['436', '20', '324', '165', '453']
['430', '446', '278', '338', '239']
['215', '318', '292', '46', '422']
['472', '272', '367', '364', '432']
['487', '372', '287', '344', '380']
['192', '311', '252', '18', '235']
['204', '241', '331', '437', '153']
['378', '449', '279', '135', '388']
['33', '202', '425', '63', '106']
['134', '394', '421', '470', '238']
['419', '90', '180', '42', '341']
['72', '54', '181', '473', '231']
['283', '375', '44', '319', '89']
['270', '463', '373', '268', '156']
['113', '397', '284', '291', '155']
['122', '334', '265', '369', '448']
['171', '93', '143', '130', '126']
['317', '49', '363', '347', '497']
['144', '152', '266', '484', '151']
['359', '132', '240', '1', '371']
['399', '175', '442', '217', '35']
['396', '188', '234', '277', '492']
['95', '307', '80', '329', '379']
['91', '312', '281', '321', '288']
['261', '177', '273', '145', '328']
['118', '140', '262', '308', '128']
['121', '111', '337', '73', '68']
['220', '383', '404', '81', '294']
['227', '88', '5', '447', '84']
['443', '370', '250', '194', '9']
['19', '119', '381', '296', '129']
['385', '76', '191', '395', '445']
['65', '389', '247', '226', '325']
['412', '462', '61', '109', '286']
['376', '490', '460', '417', '457']
['301', '131', '66', '178', '431']
['299', '25', '39', '6', '147']
['444', '476', '260', '471', '416']
['333', '400', '458', '21', '377']
['309', '494', '345', '229', '414']
['167', '101', '392', '210', '426']
['295', '420', '323', '86', '206']
['386', '79', '97', '207', '142']
['351', '304', '361', '115', '67']
['28', '236', '467', '214', '41']
['255', '57', '243', '393', '104']
['343', '491', '48', '199', '225']
