['7', '36', '99', '104', '125', '138', '149', '156', '165', '175', '217', '237', '261', '265', '296', '311', '313', '315', '331', '349', '373', '376', '388', '402', '432']
['15', '45', '47', '53', '72', '75', '81', '84', '101', '126', '127', '143', '162', '209', '240', '257', '282', '328', '337', '377', '383', '426', '445', '455', '456']
['25', '26', '51', '64', '73', '83', '121', '128', '151', '205', '206', '246', '273', '288', '322', '336', '375', '389', '410', '424', '440', '452', '457', '464', '475']
['8', '24', '44', '49', '50', '74', '89', '106', '136', '172', '184', '195', '197', '200', '203', '207', '278', '310', '342', '382', '396', '422', '430', '442', '448']
['5', '19', '37', '98', '118', '119', '154', '185', '245', '247', '250', '259', '262', '270', '272', '284', '299', '305', '324', '353', '398', '443', '444', '477', '484']
['6', '23', '61', '120', '152', '174', '187', '222', '229', '241', '267', '268', '283', '285', '295', '297', '319', '334', '352', '363', '378', '406', '437', '441', '461']
['28', '77', '87', '95', '109', '124', '131', '137', '141', '147', '168', '235', '251', '269', '280', '309', '348', '367', '393', '409', '423', '425', '478', '486', '490']
['38', '41', '43', '78', '80', '100', '102', '112', '129', '167', '180', '201', '212', '227', '277', '292', '300', '303', '329', '330', '341', '345', '357', '362', '416']
['9', '16', '40', '67', '88', '96', '105', '169', '170', '177', '190', '193', '198', '208', '223', '224', '225', '231', '232', '239', '258', '291', '307', '347', '355']
['10', '20', '22', '35', '48', '123', '140', '153', '163', '199', '204', '210', '214', '218', '263', '271', '298', '304', '371', '385', '405', '411', '413', '415', '418']
['13', '14', '17', '30', '31', '46', '66', '85', '122', '134', '142', '161', '181', '211', '213', '215', '249', '302', '339', '359', '365', '379', '384', '412', '453']
['3', '29', '55', '130', '145', '157', '158', '164', '186', '244', '254', '335', '361', '386', '390', '397', '420', '429', '434', '438', '460', '465', '470', '476', '481']
['27', '42', '54', '69', '82', '93', '117', '132', '155', '160', '182', '191', '202', '236', '242', '264', '274', '308', '340', '366', '447', '451', '463', '472', '473']
['4', '60', '65', '114', '135', '166', '189', '230', '287', '293', '294', '346', '351', '381', '387', '399', '404', '408', '427', '433', '436', '467', '468', '474', '487']
['12', '18', '21', '144', '148', '159', '176', '196', '219', '221', '228', '238', '252', '275', '306', '325', '374', '407', '419', '428', '449', '469', '479', '495', '497']
['11', '34', '79', '90', '92', '103', '113', '115', '146', '150', '233', '234', '248', '260', '276', '281', '290', '312', '321', '332', '343', '344', '358', '360', '392']
['52', '57', '59', '63', '91', '94', '107', '111', '116', '171', '216', '220', '243', '286', '317', '326', '327', '333', '394', '414', '417', '435', '459', '462', '491']
['32', '33', '39', '62', '70', '71', '76', '139', '173', '178', '253', '256', '301', '314', '323', '354', '356', '372', '403', '446', '480', '485', '489', '492', '494']
['0', '1', '56', '58', '68', '86', '108', '110', '133', '226', '318', '338', '350', '364', '370', '380', '391', '395', '400', '401', '421', '431', '454', '458', '482']
['2', '97', '179', '183', '188', '192', '194', '255', '266', '279', '289', '316', '320', '368', '369', '439', '450', '466', '471', '483', '488', '493', '496', '498', '499']
