['15', '242']
['5', '26', '33', '49']
['14', '70', '103', '130']
['16', '22', '151', '157']
['25', '83', '155', '169']
['55', '90', '146', '166']
['61', '148', '173', '179']
['45', '190', '209', '218']
['35', '174', '238', '241']
['163', '171', '182', '194']
['10', '50', '236', '249']
['68', '77', '116', '162']
['46', '86', '89', '183']
['29', '84', '92', '98']
['1', '87', '100', '161']
['134', '186', '213', '231']
['0', '17', '27', '40']
['19', '99', '131', '208']
['12', '95', '159', '181']
['53', '59', '91', '120']
['136', '168', '172', '196']
['145', '193', '219', '248']
['9', '18', '112', '153']
['13', '71', '81', '85']
['96', '129', '135', '184']
['52', '65', '74', '124']
['93', '125', '126', '150']
['30', '42', '58', '199']
['21', '75', '246', '247']
['37', '106', '132', '175']
['39', '105', '113', '149']
['23', '62', '108', '128']
['110', '164', '211', '223']
['56', '180', '229', '234']
['107', '152', '170', '176']
['111', '127', '140', '188']
['41', '203', '220', '232']
['54', '133', '138', '144']
['32', '57', '119', '122']
['66', '118', '143', '200']
['78', '104', '154', '189']
['4', '6', '121', '147']
['43', '156', '215', '235']
['24', '195', '224', '243']
['187', '191', '216', '233']
['222', '228', '240', '245']
['28', '64', '94', '221']
['11', '51', '123', '212']
['60', '73', '82', '244']
['8', '67', '88', '109']
['79', '141', '201', '226']
['97', '137', '177', '202']
['44', '139', '198', '225']
['48', '117', '160', '165']
['158', '197', '230', '239']
['2', '72', '115', '205']
['3', '47', '63', '114']
['38', '185', '206', '207']
['36', '178', '227', '237']
['20', '69', '80', '210']
['7', '31', '34', '101']
['76', '142', '167', '204']
['102', '192', '214', '217']
