['v10', 'd8', 'y5', 'd1', 'l8', 'b4', 'y3', 'd2', 's10', 'y10']
['q4', 'j1', 'w8', 'h9', 'j3', 'p4', 's4', 'b10', 'i3', 'v4']
['t5', 'j5', 'r9', 'h5', 'u10', 'k2', 'v5', 'v7', 'n9', 'n3']
['y8', 'g6', 'g9', 'o4', 'l9', 'j7', 'w3', 'b3', 'o1', 'f10']
['q3', 'q6', 'o2', 'e7', 'w1', 'a3', 'f1', 'f5', 's1', 'k3']
['g8', 'n10', 'j6', 'w10', 'b2', 'a6', 'e4', 'k10', 'x6', 'w4']
['r10', 't8', 'x10', 'j8', 'w5', 'x1', 'p1', 's2', 'b5', 'v2']
['t7', 't3', 'l4', 'e6', 'e3', 'a2', 'h7', 'u1', 'm7', 'm9']
['e10', 'l5', 'b8', 'a9', 'u7', 'b9', 'h10', 'f6', 'a1', 'x9']
['c5', 't1', 'j9', 'u3', 'm2', 'm8', 'x5', 'i4', 'v6', 'i10']
['d3', 'q2', 'b7', 'y4', 'e2', 'r3', 'c1', 'g1', 'k5', 'i9']
['d4', 'c10', 'p3', 'a7', 'a8', 'u6', 'm6', 'p5', 'g3', 's7']
['p10', 't6', 'o8', 'r5', 'a4', 'x3', 'c2', 'k6', 'a10', 'd6']
['c4', 't9', 'l2', 'j2', 'w9', 'o7', 'o6', 'h2', 'h1', 'm4']
['d9', 'q9', 'x4', 'r1', 'r8', 'p6', 'b6', 'f4', 'f7', 's3']
['g7', 't4', 'y6', 'c9', 'w7', 'k7', 'i7', 'n8', 'n4', 'g10']
['y7', 't2', 'w2', 'e1', 'r4', 'q8', 'h4', 'x7', 'f9', 's6']
['y1', 'm10', 'j10', 'g2', 'e9', 'e5', 'r7', 'h8', 'u8', 'x2']
['y9', 'q5', 'x8', 'u2', 'c3', 'p2', 'p7', 'f8', 's5', 'i1']
['y2', 'd5', 'o3', 'u9', 'u5', 'm3', 'c7', 'k4', 'i2', 'v3']
['g5', 'l7', 'l3', 'l1', 'w6', 'r6', 'b1', 'f3', 'k8', 'i8']
['q1', 'e8', 't10', 'p8', 'i5', 'i6', 'v1', 'v9', 'n2', 'n6']
['l10', 'o5', 'o10', 'h6', 'n7', 'm5', 'm1', 'p9', 's9', 'n5']
['d7', 'q7', 'c6', 'l6', 'q10', 'r2', 'u4', 's8', 'k1', 'k9']
['g4', 'j4', 'o9', 'a5', 'h3', 'c8', 'f2', 'd10', 'v8', 'n1']
