['1', '2', '108', '175', '212', '264', '272']
['7', '77', '310', '311', '317', '341', '348']
['39', '76', '79', '117', '215', '236', '328']
['254', '258', '260', '261', '265', '269', '274']
['40', '41', '69', '129', '147', '216', '345']
['50', '51', '53', '58', '61', '62', '64']
['253', '256', '262', '263', '266', '268', '271']
['67', '84', '296', '298', '299', '300', '301']
['105', '107', '141', '144', '287', '316', '320']
['6', '208', '209', '290', '302', '306', '307']
['232', '329', '337', '338', '339', '342', '343']
['75', '118', '138', '140', '222', '223', '233']
['72', '205', '221', '273', '277', '312', '350']
['324', '326', '327', '330', '334', '335', '344']
['3', '30', '35', '36', '60', '111', '112']
['25', '26', '33', '142', '171', '246', '251']
['68', '182', '213', '218', '270', '315', '325']
['71', '167', '217', '255', '267', '283', '340']
['110', '146', '165', '276', '318', '321', '349']
['44', '46', '47', '48', '49', '113', '180']
['225', '226', '229', '230', '234', '239', '245']
['103', '191', '193', '194', '195', '196', '201']
['34', '65', '106', '136', '179', '183', '210']
['219', '220', '224', '227', '231', '235', '238']
['115', '119', '120', '121', '124', '127', '134']
['23', '116', '177', '178', '257', '279', '286']
['9', '11', '13', '15', '17', '28', '29']
['187', '189', '190', '192', '197', '199', '204']
['63', '73', '114', '176', '206', '259', '278']
['150', '151', '157', '158', '159', '160', '161']
['289', '292', '294', '295', '297', '309', '314']
['87', '88', '89', '90', '91', '94', '282']
['32', '42', '104', '322', '323', '346', '347']
['16', '19', '74', '240', '241', '244', '252']
['122', '123', '125', '126', '128', '131', '133']
['18', '20', '21', '24', '27', '31', '145']
['45', '237', '293', '331', '332', '333', '336']
['4', '8', '10', '12', '14', '22', '57']
['37', '70', '135', '143', '164', '174', '249']
['78', '181', '200', '203', '243', '275', '285']
['66', '288', '291', '303', '304', '305', '308']
['184', '185', '186', '188', '198', '211', '250']
['149', '162', '166', '168', '214', '228', '248']
['52', '54', '55', '56', '59', '81', '202']
['152', '153', '154', '155', '156', '163', '169']
['5', '95', '96', '97', '100', '102', '313']
['43', '130', '137', '139', '170', '172', '207']
['93', '98', '101', '109', '242', '280', '284']
['80', '82', '83', '85', '86', '92', '99']
['38', '132', '148', '173', '247', '281', '319']
